C√≥digo;Raz√≥n,,,,,,,,,,
B442;El nombre 'PARAFUSO SEXT A√áO 1/2X3' ya existe,B442,NA,BRASIL,0,0,PARAFUSO SEXT A«O 1/2X3,PIEZA,BRASIL,NO,B0267
B443;El nombre 'PARAFUSO SEXT A√áO M06X40MA' ya existe,B443,NA,BRASIL,0,0,PARAFUSO SEXT A«O M06X40MA,PIEZA,BRASIL,NO,B0268
B444;El nombre 'PORCA SEXT 1 NC' ya existe,B444,NA,BRASIL,0,0,PORCA SEXT 1 NC,PIEZA,BRASIL,NO,B0289
B445;El nombre 'PORCA SEXT 1/2 AUTO TRAV NC' ya existe,B445,NA,BRASIL,0,0,PORCA SEXT 1/2 AUTO TRAV NC,PIEZA,BRASIL,NO,B0293
B446;El nombre 'PORCA SEXT M06 AUTO TRAV MA' ya existe,B446,NA,BRASIL,0,0,PORCA SEXT M06 AUTO TRAV MA,PIEZA,BRASIL,NO,B0290
B447;El nombre 'TRAVA PARAFUSO VERMELHO 10G' ya existe,B447,NA,BRASIL,0,0,TRAVA PARAFUSO VERMELHO 10G,PIEZA,BRASIL,NO,B0354
B448;El nombre 'ARRUELA LISA 7/8' ya existe,B448,NA,BRASIL,0,0,ARRUELA LISA 7/8,PIEZA,BRASIL,NO,B0028
B449;El nombre 'MANILHA CURVA 1/2 CONTRA-PINADA' ya existe,B449,NA,BRASIL,0,0,MANILHA CURVA 1/2 CONTRA-PINADA,PIEZA,BRASIL,NO,B0232
B452;El nombre 'HIPER ESMALTE AMARELO 3L' ya existe,B452,NA,BRASIL,0,0,HIPER ESMALTE AMARELO 3L,PIEZA,BRASIL,NO,B0197
B453;El nombre 'THINNER COMUM AGRANEL' ya existe,B453,NA,BRASIL,0,0,THINNER COMUM AGRANEL,PIEZA,BRASIL,NO,B0337
B471;El nombre 'METALON 40X40 CH 14 2.0MM 15.03KG/UM' ya existe,B471,NA,BRASIL,0,0,METALON 40X40 CH 14 2.0MM 15.03KG/UM,PIEZA,BRASIL,NO,B400
B473;El nombre 'DISCO INOX 7X1.6X7/8 TYROLIT' ya existe,B394,NA,BRASIL,0,0,DISCO INOX 7X1.6X7/8 TYROLIT,PIEZA,BRASIL,NO,B394
B480;El nombre 'PARAFUSO SEXT FLANGE M08X30' ya existe,B480,NA,BRASIL,0,0,PARAFUSO SEXT FLANGE M08X30,PIEZA,BRASIL,NO,B394
"B481;""El nombre 'HIPER ESMALTE AMARELO 3 L UN 1",B481,NA,BRASIL,0,0,"HIPER ESMALTE AMARELO 3 L UN 1
",PIEZA,BRASIL,NO,B422
"' ya existe""",,,,,,,,,,
B482;El nombre 'THINNER COMUN AGRANEL 1 L LT 1' ya existe,B482,NA,BRASIL,0,0,THINNER COMUN AGRANEL 1 L LT 1,PIEZA,BRASIL,NO,B0338
B487;El nombre 'ANEL ORING ' ya existe,B487,NA,BRASIL,0,0,ANEL ORING ,PIEZA,BRASIL,NO,B0023
B488;El nombre 'ANEL BACKUP' ya existe,B488,NA,BRASIL,0,0,ANEL BACKUP,PIEZA,BRASIL,NO,B0022
B496;El nombre 'TECLADO' ya existe,B496,NA,BRASIL,0,0,TECLADO,PIEZA,BRASIL,NO,
B497;El nombre 'MOUSE PAD' ya existe,B497,NA,BRASIL,0,0,MOUSE PAD,PIEZA,BRASIL,NO,B0245
B506;El nombre 'EXTINTOR DE P√ìQUIMICO SECO ABC 2KG' ya existe,B506,NA,BRASIL,0,0,EXTINTOR DE P”QUIMICO SECO ABC 2KG,PIEZA,BRASIL,NO,B0307
